stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_2150_337301,,"Libertów Świetlista","",49.955042,19.929992,,,0,,,
stop_2150_337302,,"Libertów Świetlista","",49.9552,19.92978,,,0,,,
stop_2151_337401,,"Masłomiąca Koźlica (nż)","",50.160331,19.989183,,,0,,,
stop_2151_337402,,"Masłomiąca Koźlica (nż)","",50.160449,19.989791,,,0,,,
stop_2152_337501,,"Zagórzyce Dworskie Remiza","",50.174817,20.039459,,,0,,,
stop_2153_337601,,"Zagórzyce Stare Owocowa (nż)","",50.166856,20.034946,,,0,,,
stop_2153_337602,,"Zagórzyce Stare Owocowa (nż)","",50.167659,20.03521,,,0,,,
stop_2154_337701,,"Książniczki Paszczykówka (nż)","",50.130784,20.013962,,,0,,,
stop_2154_337702,,"Książniczki Paszczykówka (nż)","",50.130784,20.013962,,,0,,,
stop_2155_337801,,"Masłomiąca Długa (nż)","",50.157863,20.013351,,,0,,,
stop_2155_337802,,"Masłomiąca Długa (nż)","",50.158024,20.013211,,,0,,,
stop_2156_337901,,"Pielgrzymowice Wierzbowa (nż)","",50.1509,20.048,,,0,,,
stop_2156_337902,,"Pielgrzymowice Wierzbowa (nż)","",50.1509,20.048,,,0,,,
stop_2159_299001,,"Rząska Cmentarz (nż)","",50.102728,19.861479,,,0,,,
stop_2159_299002,,"Rząska Cmentarz (nż)","",50.102324,19.862122,,,0,,,
stop_2159_299003,,"Rząska Cmentarz (nż)","",50.101126,19.860715,,,0,,,
stop_2161_338102,,"Bodzów","",50.04127,19.87208,,,0,,,
stop_2162_338201,,"Widłakowa (nż)","",50.0374,19.8774,,,0,,,
stop_2162_338202,,"Widłakowa (nż)","",50.03743,19.87736,,,0,,,
stop_2174_338301,,"Szpital Uniwersytecki / Instytut Pediatr","",50.010294,20.000091,,,0,,,
stop_2174_338302,,"Szpital Uniwersytecki / Instytut Pediatr","",50.01016,20.00027,,,0,,,
stop_2175_338401,,"Miejskie Centrum Opieki","",50.009355,20.003816,,,0,,,
stop_2175_338402,,"Miejskie Centrum Opieki","",50.00921,20.0032,,,0,,,
stop_2176_338501,,"Balice Instytut Zootechniki (nż)","",50.083852,19.788942,,,0,,,
stop_2177_338601,,"Morawica Centrum","",50.075171,19.753306,,,0,,,
stop_2177_338603,,"Morawica Centrum","",50.074622,19.751367,,,0,,,
stop_2178_338701,,"Morawica Szkoła (nż)","",50.080345,19.756101,,,0,,,
